variable	communality	uniqueness
v000120	0.2279991176	0.7720008824
v000121	0.1665778027	0.8334221973
v000122	0.3570262605	0.6429737395
v000123	0.1621909836	0.8378090164
v000124	0.1855152009	0.8144847991
v000125	0.1757828142	0.8242171858
v000126	0.1889020954	0.8110979046
v000127	0.0668803172	0.9331196828
v000128	0.2992919459	0.7007080541
v000129	0.3665753818	0.6334246182
v000130	0.0276869231	0.9723130769
v000131	0.0768975684	0.9231024316
v000132	0.1608852967	0.8391147033
v000133	0.1302150332	0.8697849668
v000134	0.3254612591	0.6745387409
v000135	0.3310147626	0.6689852374
v000136	0.2200765367	0.7799234633
v000137	0.1479152173	0.8520847827
v000138	0.0372773699	0.9627226301
v000139	0.0985147916	0.9014852084
v000140	0.0856096266	0.9143903734
v000141	0.0889429166	0.9110570834
v000142	0.2523647443	0.7476352557
v000143	0.0980870666	0.9019129334
v000144	0.1164924894	0.8835075106
v000145	0.1825494974	0.8174505026
v000146	0.2620213515	0.7379786485
v000147	0.2873415718	0.7126584282
v000148	0.1147478909	0.8852521091
v000149	0.0785924688	0.9214075312
v000150	0.2781058909	0.7218941091
v000151	0.1501024994	0.8498975006
v000152	0.1354644435	0.8645355565
v000153	0.2021025884	0.7978974116
v000154	0.1858523915	0.8141476085
v000155	0.3603715304	0.6396284696
v000156	0.1840412670	0.8159587330
v000157	0.3750444150	0.6249555850
v000158	0.2458668850	0.7541331150
v000159	0.0928564595	0.9071435405
v000160	0.0381826756	0.9618173244
v000161	0.0840722294	0.9159277706
v000162	0.1562711397	0.8437288603
v000163	0.1711587121	0.8288412879
v000164	0.0945034306	0.9054965694
v000165	0.1108660328	0.8891339672
v000166	0.1779678587	0.8220321413
v000167	0.1018153236	0.8981846764
v000168	0.1682764018	0.8317235982
v000169	0.2028455737	0.7971544263
v000170	0.0558134173	0.9441865827
v000171	0.4330904225	0.5669095775
v000172	0.2924251524	0.7075748476
v000173	0.1882087150	0.8117912850
v000174	0.3445171464	0.6554828536
v000175	0.4143460777	0.5856539223
v000176	0.3302475696	0.6697524304
v000177	0.2755411902	0.7244588098
v000178	0.2248509680	0.7751490320
v000179	0.1821838012	0.8178161988
v000180	0.2627293959	0.7372706041
v000181	0.1512462852	0.8487537148
v000182	0.0575415681	0.9424584319
v000183	0.2791169926	0.7208830074
v000184	0.2031528810	0.7968471190
v000185	0.3351648967	0.6648351033
v000186	0.5208628193	0.4791371807
v000187	0.1729803997	0.8270196003
v000188	0.3115740546	0.6884259454
v000189	0.2000339067	0.7999660933
v000190	0.3601742870	0.6398257130
v000191	0.0826746649	0.9173253351
v000192	0.1225819576	0.8774180424
v000193	0.3614173502	0.6385826498
v000194	0.1538506329	0.8461493671
v000195	0.3725286583	0.6274713417
v000196	0.1263152403	0.8736847597
v000197	0.1691860613	0.8308139387
v000198	0.2280364584	0.7719635416
v000199	0.0362929813	0.9637070187
v000200	0.3082761870	0.6917238130
v000201	0.2870089549	0.7129910451
v000202	0.3287907104	0.6712092896
v000203	0.1428117818	0.8571882182
v000204	0.2905496727	0.7094503273
v000205	0.2691320662	0.7308679338
v000206	0.2125675339	0.7874324661
v000207	0.2076045964	0.7923954036
v000208	0.2622163897	0.7377836103
v000209	0.1916857588	0.8083142412
v000210	0.1840676356	0.8159323644
v000211	0.2296388764	0.7703611236
v000212	0.3352188601	0.6647811399
v000213	0.1222584991	0.8777415009
v000214	0.3978770895	0.6021229105
v000215	0.2309775704	0.7690224296
v000216	0.0500561401	0.9499438599
v000217	0.2300713105	0.7699286895
v000218	0.1543661026	0.8456338974
v000219	0.2227871677	0.7772128323
v000220	0.1018297831	0.8981702169
v000221	0.0955631838	0.9044368162
v000222	0.0942713095	0.9057286905
v000223	0.3547663562	0.6452336438
v000224	0.1686748850	0.8313251150
v000225	0.2994170251	0.7005829749
v000226	0.2125086346	0.7874913654
v000227	0.3605069167	0.6394930833
v000228	0.5696735596	0.4303264404
v000229	0.2385015978	0.7614984022
v000230	0.2016569347	0.7983430653
v000231	0.2169212186	0.7830787814
v000232	0.2460403089	0.7539596911
v000233	0.1466432574	0.8533567426
v000234	0.2466693477	0.7533306523
v000235	0.0960794876	0.9039205124
v000236	0.0565098490	0.9434901510
v000237	0.3605260871	0.6394739129
v000238	0.2282476941	0.7717523059
v000239	0.2486731686	0.7513268314
v000240	0.2013989385	0.7986010615
v000241	0.1604589308	0.8395410692
v000242	0.0727397626	0.9272602374
v000243	0.0824247826	0.9175752174
v000244	0.2390382767	0.7609617233
v000245	0.2360094709	0.7639905291
v000246	0.1051745344	0.8948254656
v000247	0.1129014640	0.8870985360
v000248	0.3547301229	0.6452698771
v000249	0.1617448834	0.8382551166
v000250	0.3158258934	0.6841741066
v000251	0.2406269957	0.7593730043
v000252	0.3022723604	0.6977276396
v000253	0.2443700918	0.7556299082
v000254	0.0681411564	0.9318588436
v000255	0.4713141133	0.5286858867
v000256	0.1969555811	0.8030444189
v000257	0.0927230354	0.9072769646
v000258	0.0435801726	0.9564198274
v000259	0.4136224642	0.5863775358
v000260	0.3905115622	0.6094884378
v000261	0.1582477990	0.8417522010
v000262	0.4114091646	0.5885908354
v000263	0.0324394687	0.9675605313
v000264	0.0917166941	0.9082833059
v000265	0.3282262224	0.6717737776
v000266	0.4489205703	0.5510794297
v000267	0.2052930304	0.7947069696
v000268	0.3321768323	0.6678231677
v000269	0.3685928772	0.6314071228
v000270	0.1484767254	0.8515232746
v000271	0.1175511754	0.8824488246
v000272	0.2832709237	0.7167290763
v000273	0.0209940563	0.9790059437
v000274	0.1375367166	0.8624632834
v000275	0.1733458525	0.8266541475
v000276	0.2269330221	0.7730669779
v000277	0.3027037917	0.6972962083
