variable	communality	uniqueness
v000001	0.2324621595	0.7675378405
v000002	0.4015263309	0.5984736691
v000003	0.0976334990	0.9023665010
v000004	0.1307435245	0.8692564755
v000005	0.2043932001	0.7956067999
v000006	0.3906653312	0.6093346688
v000007	0.2824532733	0.7175467267
v000008	0.3960172947	0.6039827053
v000009	0.1492206888	0.8507793112
v000010	0.0708194443	0.9291805557
v000011	0.1720829999	0.8279170001
v000012	0.1636460874	0.8363539126
v000013	0.2049106850	0.7950893150
v000014	0.2855454695	0.7144545305
v000015	0.1249227952	0.8750772048
v000016	0.2237301471	0.7762698529
v000017	0.1772772030	0.8227227970
v000018	0.1505401195	0.8494598805
v000019	0.2030322501	0.7969677499
v000020	0.2528918178	0.7471081822
v000021	0.1563719661	0.8436280339
v000022	0.2672921904	0.7327078096
v000023	0.1522137453	0.8477862547
v000024	0.2419374142	0.7580625858
v000025	0.0218482761	0.9781517239
v000026	0.1707839292	0.8292160708
v000027	0.0913655076	0.9086344924
v000028	0.2167842341	0.7832157659
v000029	0.3515702113	0.6484297887
v000030	0.2658307940	0.7341692060
v000031	0.1823151743	0.8176848257
v000032	0.1269723166	0.8730276834
v000033	0.1532956025	0.8467043975
v000034	0.3347005036	0.6652994964
v000035	0.3867974969	0.6132025031
v000036	0.2441141629	0.7558858371
v000037	0.2558779974	0.7441220026
v000038	0.0970752674	0.9029247326
v000039	0.2698665867	0.7301334133
v000040	0.0553124000	0.9446876000
v000041	0.2239729327	0.7760270673
v000042	0.1445905602	0.8554094398
v000043	0.3732846673	0.6267153327
v000044	0.2789393844	0.7210606156
v000045	0.1438186663	0.8561813337
v000046	0.2051507693	0.7948492307
v000047	0.2217885939	0.7782114061
v000048	0.1903142817	0.8096857183
v000049	0.4484236404	0.5515763596
v000050	0.1545395096	0.8454604904
v000051	0.2280827307	0.7719172693
v000052	0.4043922882	0.5956077118
v000053	0.1765881114	0.8234118886
v000054	0.3784498944	0.6215501056
v000055	0.2877646953	0.7122353047
v000056	0.4742531571	0.5257468429
v000057	0.3395970387	0.6604029613
v000058	0.4275543293	0.5724456707
v000059	0.3168887472	0.6831112528
v000060	0.3774167438	0.6225832562
v000061	0.0995841273	0.9004158727
v000062	0.1630881133	0.8369118867
v000063	0.1556895995	0.8443104005
v000064	0.1702762046	0.8297237954
v000065	0.1984398660	0.8015601340
v000066	0.3069695891	0.6930304109
v000067	0.4603095150	0.5396904850
v000068	0.1352201387	0.8647798613
v000069	0.3066734583	0.6933265417
v000070	0.3957977085	0.6042022915
v000071	0.1977725783	0.8022274217
v000072	0.2579232183	0.7420767817
v000073	0.0603092837	0.9396907163
v000074	0.1146250662	0.8853749338
v000075	0.2542477205	0.7457522795
v000076	0.3267545995	0.6732454005
v000077	0.1190581617	0.8809418383
v000078	0.1589233191	0.8410766809
v000079	0.3827261683	0.6172738317
v000080	0.1675109510	0.8324890490
v000081	0.3007874370	0.6992125630
v000082	0.3602870399	0.6397129601
v000083	0.1505849932	0.8494150068
v000084	0.2713691607	0.7286308393
v000085	0.1846639492	0.8153360508
v000086	0.1843303418	0.8156696582
v000087	0.1543490217	0.8456509783
v000088	0.1128503468	0.8871496532
v000089	0.0755881195	0.9244118805
v000090	0.2369472561	0.7630527439
v000091	0.2124017418	0.7875982582
v000092	0.1101614530	0.8898385470
v000093	0.2683028159	0.7316971841
v000094	0.2129905379	0.7870094621
v000095	0.1897155759	0.8102844241
v000096	0.1681160359	0.8318839641
v000097	0.1065962833	0.8934037167
v000098	0.3227634090	0.6772365910
v000099	0.1475627220	0.8524372780
v000100	0.0428160416	0.9571839584
v000101	0.1642764046	0.8357235954
v000102	0.3090728513	0.6909271487
v000103	0.1028485724	0.8971514276
v000104	0.0703578861	0.9296421139
v000105	0.1449870980	0.8550129020
v000106	0.0570465288	0.9429534712
v000107	0.2390607492	0.7609392508
v000108	0.3474994088	0.6525005912
v000109	0.1291593489	0.8708406511
v000110	0.3355732398	0.6644267602
v000111	0.1346758114	0.8653241886
v000112	0.2503339729	0.7496660271
v000113	0.2173773167	0.7826226833
v000114	0.0917334385	0.9082665615
v000115	0.3566297094	0.6433702906
v000116	0.1827036723	0.8172963277
v000117	0.1054185054	0.8945814946
v000118	0.3433940010	0.6566059990
v000119	0.0488498586	0.9511501414
