factor	group_variable	group_count	text_count	df_between	df_within	ss_between	ss_within	ss_total	ms_between	ms_within	f_value	p_value	r_squared
factor_3	subcorpus	8	822	7	814	53.3145717220	334.7693698839	388.0839416058	7.6163673889	0.4112645822	18.5193856196	0.0000000000	0.1373789688
factor_2	subcorpus	8	822	7	814	28.7919930356	479.5875690082	508.3795620438	4.1131418622	0.5891739177	6.9812015411	0.0000000426	0.0566348358
factor_4	subcorpus	8	822	7	814	16.3995561799	201.6685703408	218.0681265207	2.3427937400	0.2477500864	9.4562781951	0.0000000000	0.0752038202
factor_1	subcorpus	8	822	7	814	28.5103652970	388.2013135351	416.7116788321	4.0729093281	0.4769057906	8.5402807191	0.0000000004	0.0684174856
