factor	factor_1	factor_2	factor_3	factor_4
factor_1	1.0000000000	-0.1074669511	0.2312486245	0.2385487822
factor_2	-0.1074669511	1.0000000000	-0.2339363162	0.0565074898
factor_3	0.2312486245	-0.2339363162	1.0000000000	-0.1684638316
factor_4	0.2385487822	0.0565074898	-0.1684638316	1.0000000000
