field	value
rotated_pattern_path	cl_st1_ph2_andrea/statistics/final_rotated_factor_pattern.tsv
assignment_output_path	cl_st1_ph2_andrea/statistics/factor_pole_assignments.tsv
loading_lists_output_path	cl_st1_ph2_andrea/statistics/factor_pole_loading_lists.tsv
loading_cutoff	0.3000000000
factor_count	5
variable_count	32
assigned_variable_count	29
unloaded_variable_count	3
positive_pole_count	13
negative_pole_count	16
development_backend_source	true
