variable	lemma	communality	uniqueness	status
v000273	work	0.0209940563	0.9790059437	exclude
v000025	call	0.0218482761	0.9781517239	exclude
v000130	let	0.0276869231	0.9723130769	exclude
v000263	way	0.0324394687	0.9675605313	exclude
v000199	say	0.0362929813	0.9637070187	exclude
v000138	man	0.0372773699	0.9627226301	exclude
v000160	one	0.0381826756	0.9618173244	exclude
v000100	great	0.0428160416	0.9571839584	exclude
v000258	want	0.0435801726	0.9564198274	exclude
v000119	kind	0.0488498586	0.9511501414	exclude
v000216	smooth	0.0500561401	0.9499438599	exclude
v000040	come	0.0553124000	0.9446876000	exclude
v000170	play	0.0558134173	0.9441865827	exclude
v000236	talk	0.0565098490	0.9434901510	exclude
v000106	hold	0.0570465288	0.9429534712	exclude
v000182	put	0.0575415681	0.9424584319	exclude
v000073	extra	0.0603092837	0.9396907163	exclude
v000127	lead	0.0668803172	0.9331196828	exclude
v000254	use	0.0681411564	0.9318588436	exclude
v000104	have	0.0703578861	0.9296421139	exclude
v000010	beautiful	0.0708194443	0.9291805557	exclude
v000242	thing	0.0727397626	0.9272602374	exclude
v000089	game	0.0755881195	0.9244118805	exclude
v000131	light	0.0768975684	0.9231024316	exclude
v000149	most	0.0785924688	0.9214075312	exclude
v000243	time	0.0824247826	0.9175752174	exclude
v000191	rich	0.0826746649	0.9173253351	exclude
v000161	only	0.0840722294	0.9159277706	exclude
v000140	mean	0.0856096266	0.9143903734	exclude
v000141	mile	0.0889429166	0.9110570834	exclude
v000027	car	0.0913655076	0.9086344924	exclude
v000264	wear	0.0917166941	0.9082833059	exclude
v000114	introduce	0.0917334385	0.9082665615	exclude
v000257	visit	0.0927230354	0.9072769646	exclude
v000159	old	0.0928564595	0.9071435405	exclude
v000222	stay	0.0942713095	0.9057286905	exclude
v000164	other	0.0945034306	0.9054965694	exclude
v000221	start	0.0955631838	0.9044368162	exclude
v000235	take	0.0960794876	0.9039205124	exclude
v000038	color	0.0970752674	0.9029247326	exclude
v000003	air	0.0976334990	0.9023665010	exclude
v000143	mind	0.0980870666	0.9019129334	exclude
v000139	many	0.0985147916	0.9014852084	exclude
v000061	do	0.0995841273	0.9004158727	exclude
v000167	part	0.1018153236	0.8981846764	exclude
v000220	special	0.1018297831	0.8981702169	exclude
v000103	happen	0.1028485724	0.8971514276	exclude
v000246	top	0.1051745344	0.8948254656	exclude
v000117	keep	0.1054185054	0.8945814946	exclude
v000097	go	0.1065962833	0.8934037167	exclude
v000092	get	0.1101614530	0.8898385470	exclude
v000165	own	0.1108660328	0.8891339672	exclude
v000088	friend	0.1128503468	0.8871496532	exclude
v000247	touch	0.1129014640	0.8870985360	exclude
v000074	eye	0.1146250662	0.8853749338	exclude
v000148	month	0.1147478909	0.8852521091	exclude
v000144	minute	0.1164924894	0.8835075106	exclude
v000271	wonder	0.1175511754	0.8824488246	exclude
v000077	fast	0.1190581617	0.8809418383	exclude
v000213	show	0.1222584991	0.8777415009	exclude
v000192	right	0.1225819576	0.8774180424	exclude
v000015	blue	0.1249227952	0.8750772048	exclude
v000196	run	0.1263152403	0.8736847597	exclude
v000032	choice	0.1269723166	0.8730276834	exclude
v000109	hour	0.1291593489	0.8708406511	exclude
v000133	look	0.1302150332	0.8697849668	exclude
v000004	amazing	0.1307435245	0.8692564755	exclude
v000111	important	0.1346758114	0.8653241886	exclude
v000068	enjoy	0.1352201387	0.8647798613	exclude
v000152	natural	0.1354644435	0.8645355565	exclude
v000274	world	0.1375367166	0.8624632834	exclude
v000203	second	0.1428117818	0.8571882182	exclude
v000045	control	0.1438186663	0.8561813337	exclude
v000042	community	0.1445905602	0.8554094398	exclude
v000105	hear	0.1449870980	0.8550129020	exclude
v000233	sweet	0.1466432574	0.8533567426	exclude
v000099	good	0.1475627220	0.8524372780	exclude
v000137	make	0.1479152173	0.8520847827	exclude
v000270	woman	0.1484767254	0.8515232746	exclude
v000009	be	0.1492206888	0.8507793112	exclude
