factor	example_pole	text_id	score	variable	lemma	variable_pole	present	score_contribution
factor_3	positive	t000110	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000110	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000110	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000094	girl	negative	1	-1
factor_3	positive	t000117	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000117	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000011	beauty	negative	1	-1
factor_3	positive	t000002	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000002	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000134	lose	negative	1	-1
factor_3	positive	t000004	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000004	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000099	-11.0000000000	v000011	beauty	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000054	delicate	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000076	famous	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000093	gift	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000094	girl	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000095	give	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000123	lady	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000134	lose	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000135	lovely	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000175	precision	negative	1	-1
factor_3	negative	t000099	-11.0000000000	v000245	tomorrow	negative	1	-1
factor_3	negative	t000035	-5.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000035	-5.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000035	-5.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000035	-5.0000000000	v000093	gift	negative	1	-1
factor_3	negative	t000035	-5.0000000000	v000094	girl	negative	1	-1
factor_3	negative	t000035	-5.0000000000	v000095	give	negative	1	-1
factor_3	negative	t000035	-5.0000000000	v000123	lady	negative	1	-1
factor_3	negative	t000035	-5.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000035	-5.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000035	-5.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000035	-5.0000000000	v000245	tomorrow	negative	1	-1
factor_3	negative	t000022	-4.0000000000	v000011	beauty	negative	1	-1
factor_3	negative	t000022	-4.0000000000	v000054	delicate	negative	1	-1
factor_3	negative	t000022	-4.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000022	-4.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000022	-4.0000000000	v000094	girl	negative	1	-1
factor_3	negative	t000022	-4.0000000000	v000095	give	negative	0	0
factor_3	negative	t000022	-4.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000022	-4.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000022	-4.0000000000	v000135	lovely	negative	1	-1
factor_3	negative	t000022	-4.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000022	-4.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000017	-3.0000000000	v000011	beauty	negative	1	-1
factor_3	negative	t000017	-3.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000017	-3.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000017	-3.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000017	-3.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000017	-3.0000000000	v000095	give	negative	0	0
factor_3	negative	t000017	-3.0000000000	v000123	lady	negative	1	-1
factor_3	negative	t000017	-3.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000017	-3.0000000000	v000135	lovely	negative	1	-1
factor_3	negative	t000017	-3.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000017	-3.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000030	-3.0000000000	v000011	beauty	negative	1	-1
factor_3	negative	t000030	-3.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000030	-3.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000030	-3.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000030	-3.0000000000	v000094	girl	negative	1	-1
factor_3	negative	t000030	-3.0000000000	v000095	give	negative	0	0
factor_3	negative	t000030	-3.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000030	-3.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000030	-3.0000000000	v000135	lovely	negative	1	-1
factor_3	negative	t000030	-3.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000030	-3.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000151	-3.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000151	-3.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000151	-3.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000151	-3.0000000000	v000093	gift	negative	1	-1
factor_3	negative	t000151	-3.0000000000	v000094	girl	negative	1	-1
factor_3	negative	t000151	-3.0000000000	v000095	give	negative	1	-1
factor_3	negative	t000151	-3.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000151	-3.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000151	-3.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000151	-3.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000151	-3.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000076	famous	negative	1	-1
factor_3	negative	t000106	-2.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000095	give	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000106	-2.0000000000	v000245	tomorrow	negative	1	-1
factor_3	negative	t000224	-2.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000224	-2.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000224	-2.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000224	-2.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000224	-2.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000224	-2.0000000000	v000095	give	negative	0	0
factor_3	negative	t000224	-2.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000224	-2.0000000000	v000134	lose	negative	1	-1
factor_3	negative	t000224	-2.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000224	-2.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000224	-2.0000000000	v000245	tomorrow	negative	1	-1
factor_3	negative	t000208	-1.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000208	-1.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000208	-1.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000208	-1.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000208	-1.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000208	-1.0000000000	v000095	give	negative	1	-1
factor_3	negative	t000208	-1.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000208	-1.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000208	-1.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000208	-1.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000208	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000317	-2.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000317	-2.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000317	-2.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000317	-2.0000000000	v000093	gift	negative	1	-1
factor_3	negative	t000317	-2.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000317	-2.0000000000	v000095	give	negative	1	-1
factor_3	negative	t000317	-2.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000317	-2.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000317	-2.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000317	-2.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000317	-2.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000405	-2.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000405	-2.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000405	-2.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000405	-2.0000000000	v000093	gift	negative	1	-1
factor_3	negative	t000405	-2.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000405	-2.0000000000	v000095	give	negative	1	-1
factor_3	negative	t000405	-2.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000405	-2.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000405	-2.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000405	-2.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000405	-2.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000095	give	negative	1	-1
factor_3	negative	t000725	-1.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000725	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000095	give	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000134	lose	negative	1	-1
factor_3	negative	t000728	-1.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000728	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000700	-2.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000700	-2.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000700	-2.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000700	-2.0000000000	v000093	gift	negative	1	-1
factor_3	negative	t000700	-2.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000700	-2.0000000000	v000095	give	negative	1	-1
factor_3	negative	t000700	-2.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000700	-2.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000700	-2.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000700	-2.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000700	-2.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000095	give	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000123	lady	negative	1	-1
factor_3	negative	t000621	-1.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000621	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000095	give	negative	1	-1
factor_3	negative	t000524	-1.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000134	lose	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000524	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000095	give	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000123	lady	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000134	lose	negative	1	-1
factor_3	negative	t000530	-1.0000000000	v000135	lovely	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000175	precision	negative	0	0
factor_3	negative	t000530	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	negative	t000414	-1.0000000000	v000011	beauty	negative	0	0
factor_3	negative	t000414	-1.0000000000	v000054	delicate	negative	0	0
factor_3	negative	t000414	-1.0000000000	v000076	famous	negative	0	0
factor_3	negative	t000414	-1.0000000000	v000093	gift	negative	0	0
factor_3	negative	t000414	-1.0000000000	v000094	girl	negative	0	0
factor_3	negative	t000414	-1.0000000000	v000095	give	negative	0	0
