factor	example_pole	text_id	score	variable	lemma	variable_pole	present	score_contribution
factor_3	positive	t000414	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000414	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000414	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000414	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000414	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000414	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000414	-1.0000000000	v000123	lady	negative	1	-1
factor_3	positive	t000414	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000414	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000414	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000414	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000095	give	negative	1	-1
factor_3	positive	t000441	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000441	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000011	beauty	negative	1	-1
factor_3	positive	t000445	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000445	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000095	give	negative	1	-1
factor_3	positive	t000446	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000446	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000095	give	negative	1	-1
factor_3	positive	t000447	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000447	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000095	give	negative	1	-1
factor_3	positive	t000524	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000524	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000134	lose	negative	1	-1
factor_3	positive	t000530	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000530	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000123	lady	negative	1	-1
factor_3	positive	t000621	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000621	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000095	give	negative	1	-1
factor_3	positive	t000627	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000627	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000095	give	negative	1	-1
factor_3	positive	t000725	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000725	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000134	lose	negative	1	-1
factor_3	positive	t000728	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000728	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000095	give	negative	1	-1
factor_3	positive	t000310	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000310	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000095	give	negative	1	-1
factor_3	positive	t000311	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000311	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000095	give	negative	1	-1
factor_3	positive	t000208	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000134	lose	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000208	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000123	lady	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000134	lose	negative	1	-1
factor_3	positive	t000210	-1.0000000000	v000135	lovely	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000175	precision	negative	0	0
factor_3	positive	t000210	-1.0000000000	v000245	tomorrow	negative	0	0
factor_3	positive	t000110	-1.0000000000	v000011	beauty	negative	0	0
factor_3	positive	t000110	-1.0000000000	v000054	delicate	negative	0	0
factor_3	positive	t000110	-1.0000000000	v000076	famous	negative	0	0
factor_3	positive	t000110	-1.0000000000	v000093	gift	negative	0	0
factor_3	positive	t000110	-1.0000000000	v000094	girl	negative	0	0
factor_3	positive	t000110	-1.0000000000	v000095	give	negative	0	0
factor_3	positive	t000110	-1.0000000000	v000123	lady	negative	1	-1
factor_3	positive	t000110	-1.0000000000	v000134	lose	negative	0	0
