variable	factor_1	factor_2	factor_3	factor_4
v000050	-0.1689971112	0.1958894726	-0.1383842115	0.1225639900
v000051	-0.0542966615	-0.1495346933	0.0475132379	0.0189373422
v000052	-0.4079108124	-0.1968599587	0.0507591797	-0.1760440805
v000053	-0.0924569179	0.0512994153	-0.0819948754	-0.0458673722
v000054	-0.1408873723	0.2268257695	-0.2586180113	-0.0914509807
v000055	-0.1873848644	-0.0576728260	-0.0288228069	0.0065421842
v000056	-0.0762679874	0.4470987326	0.3061415965	-0.2114889925
v000057	-0.0244296372	0.1336962192	-0.0784556831	0.2176450690
v000058	-0.0461082047	0.2940708282	0.2747135299	-0.1747401298
v000059	-0.0236558899	0.2865746876	0.1748400493	-0.0855000808
v000060	-0.0261203014	0.1056492314	-0.0727403629	0.1810082375
v000062	0.0426815171	0.0452329494	0.0349520528	0.0115278868
v000063	0.0397225052	0.1144900672	0.0515060074	0.0739009984
v000064	-0.1660114400	0.2560219370	0.0713960862	-0.0056975915
v000065	0.0126989654	0.1431038968	-0.1204222589	0.2918689991
v000066	-0.2379778553	0.0237218727	0.0587738408	0.0570504936
v000067	-0.0127583954	-0.1549941870	0.0204033865	-0.0725904509
v000069	-0.0369384840	0.0280690941	-0.1238578016	0.1450662085
v000070	-0.2566152243	-0.0675833391	-0.0574895441	-0.0847354825
v000071	-0.1693095624	0.0237350590	-0.2270257913	-0.0394132743
v000072	-0.0931205050	0.0141029331	-0.0866947450	-0.1372053093
v000075	-0.1751538686	0.1103188458	0.1911341722	-0.1423252763
v000076	-0.3315962332	0.0302553712	-0.2827446524	0.0643661841
v000078	-0.1614200846	0.0547524777	-0.1208516436	0.1349358277
v000079	-0.1904069400	-0.1002722954	-0.1835834204	-0.2652249394
v000080	-0.2748167710	-0.0178513230	-0.2056469650	-0.0894574993
v000081	-0.3326607634	-0.1264560944	0.0426087201	0.0261580796
v000082	-0.1682341320	0.0941760643	-0.0163953361	-0.0638756482
v000083	-0.0436518556	0.1438907629	-0.0538926530	0.2203452986
v000084	-0.0964469477	0.1210372178	-0.1755050986	0.0641244340
v000085	0.0034604239	0.1199687031	-0.1314162656	0.2156382600
v000086	-0.0128807821	0.0092551980	-0.0325547302	-0.0150596656
v000087	-0.0114584945	0.2308568545	0.0555090357	0.1129986178
v000090	0.0283028330	-0.0482391380	-0.0637900991	-0.0487911573
v000091	-0.0358234756	0.1721397779	-0.1086447377	0.0113198136
v000093	-0.2579487701	0.0476213370	-0.2948917822	0.0260290280
v000094	-0.1898881902	0.2374925873	-0.1818316098	-0.0248342476
v000095	-0.3055094507	0.0708337249	-0.1902109447	-0.0374314875
v000096	-0.0417507873	0.1137967975	0.0645159829	-0.1651360193
v000098	-0.2008289994	0.0141491075	0.1748056182	0.3006396290
v000101	-0.0248220460	0.0840871007	-0.0157992089	-0.0663832148
v000102	-0.2023933884	0.1401663684	0.1324679781	0.0855092950
v000107	-0.0634478747	-0.0927781979	-0.0100598035	-0.0117889112
v000108	-0.0634007921	0.1365183195	-0.1864309781	0.1711517475
v000110	-0.1547659384	-0.1850200311	0.0049133448	-0.0113203186
v000112	0.0117657175	-0.1019738647	-0.0561773364	-0.0892769405
v000113	-0.0350637145	0.1919543619	0.0125631419	0.1061742750
v000115	0.0327885572	0.0593809685	0.0488186463	-0.0869037091
v000116	0.0417924224	-0.0287467374	-0.0195916380	0.0134608393
v000118	0.0053592143	-0.0217275890	0.0040236708	-0.0083437174
v000120	-0.0938374958	0.2111572881	0.0583664782	0.0046460044
v000121	-0.0832164684	0.2048727666	0.0197084922	-0.0020129446
v000122	-0.2192120945	0.0037276109	0.0012305672	-0.1166827616
v000123	-0.1354665586	0.1360111274	-0.2682216051	-0.0106363381
v000124	-0.0571640216	0.0103188682	-0.1161896450	0.0036944717
v000125	-0.1320723409	0.0918457324	0.0763197614	0.0467791457
v000126	-0.2054270707	0.0834152653	-0.0482304589	0.1928598720
v000128	-0.0652985055	-0.1707693465	0.0791954931	-0.0038753429
v000129	-0.1178515301	-0.1181058375	0.0909934299	0.0295788544
v000132	-0.2641364084	0.1025388489	-0.0131593557	-0.0210605482
v000134	-0.0836542495	0.0708198817	-0.3224421340	0.1543126148
v000135	-0.1954044421	0.3302130388	-0.2196394665	-0.1696469927
v000136	-0.0393017095	0.1882511256	0.0884631371	-0.2131335653
v000142	-0.0132512049	0.2129780391	0.0993813372	0.1404262470
v000145	0.0242201400	0.0362233951	-0.0496535367	0.0232791390
v000146	0.0094365336	0.2808646366	0.0736281249	0.0345858311
v000147	-0.3919665131	-0.2098885338	0.2018966964	0.1489272880
v000150	-0.0242396315	0.2317617032	0.0204823821	0.1735608187
v000151	-0.1053010807	0.1189832396	0.0500956252	0.1615016512
v000153	0.0361711744	-0.0744888310	0.0080643518	0.0184962266
v000154	-0.2558255071	0.0595909935	0.1236796023	-0.1075654499
v000155	0.0312610699	-0.0612340768	0.0295873711	0.0217357000
v000156	-0.1454221720	-0.0215011844	0.1121127975	0.0816066901
v000157	0.0075315823	0.0135259268	0.0088562596	-0.0583890311
v000158	-0.1509556867	-0.0504555837	-0.2632120052	0.0706328135
v000162	-0.0712419107	0.0654160261	-0.0145535668	-0.0768331797
v000163	-0.0081746547	0.1240386356	0.0085275978	0.0212646153
v000166	-0.0394640396	0.1032848921	0.0279536532	-0.0026852101
v000168	-0.0719411646	0.0035977451	-0.1975289436	0.0461173717
v000169	-0.2444934615	-0.0587590982	0.0234780524	-0.0128849549
v000171	-0.2761884704	-0.0341058645	-0.0136385863	0.0536591860
v000172	-0.1324566541	0.1048571614	0.0174510780	-0.0745969903
v000173	-0.0359812586	0.0207281163	-0.0342083954	0.0168491630
v000174	-0.3883351671	-0.1648426663	0.2215349023	0.2142613644
v000175	-0.3186110166	-0.0776499689	-0.2385136767	-0.0747525136
v000176	0.0370558900	-0.0550922569	-0.0238470945	-0.0172351834
v000177	0.0525269294	-0.0018894774	0.0012183003	-0.0090145838
v000178	-0.0329991957	0.1330207834	0.0059013008	0.0270826550
v000179	0.0248839404	0.0073487123	-0.0550483369	0.0518999998
v000180	-0.2377509262	-0.1643691124	-0.2706251783	-0.1386829117
v000181	-0.0608497196	0.1735394995	0.0631853193	-0.0048176383
v000183	-0.3181454428	-0.1630115467	-0.0541588449	-0.1601422108
v000184	-0.0587213487	0.1228457359	-0.1537172821	0.0994076019
v000185	-0.4421099438	-0.2015828817	0.1853335157	0.1680833972
v000186	-0.5849229897	-0.2768586894	0.3718569783	0.3089798737
v000187	-0.0977667834	0.1460200457	0.0143184603	0.0648369553
v000188	-0.0779554078	0.1706726019	0.0044199998	0.0247007563
v000189	-0.0883215735	0.0880689840	-0.2120878628	0.0963280835
v000190	-0.3973309332	-0.0070336820	-0.1004080424	0.0854602637
v000193	0.0423552135	-0.0248856576	-0.0286860791	0.0205742129
v000194	-0.2162218876	-0.0351441910	-0.0493962413	-0.1946066837
v000195	-0.1247389681	-0.0714698125	-0.1233265917	-0.3070859223
v000197	-0.1445134751	0.2419203452	-0.1068302832	-0.1065191454
v000198	-0.0516471579	-0.0557888035	-0.0355374457	-0.2301797384
v000200	-0.2850063210	-0.1683262626	0.0925879441	0.0832782015
v000201	0.0464191957	-0.0207696379	-0.0337720293	0.0204709395
v000202	-0.1373771008	-0.1348895958	-0.1197926609	-0.3456745080
v000204	-0.3400137814	0.1415243754	0.1016118880	-0.1472570182
v000205	-0.0758641068	-0.0122791434	0.0213090936	0.0715919087
v000206	0.0024207262	-0.1111714892	0.0380679626	-0.0005923175
v000207	-0.0745978816	-0.0434124690	0.0320837384	-0.1792015779
v000208	-0.0684360978	0.0131019827	-0.1896304043	0.0586649966
v000209	-0.0200288383	0.1059255597	0.0281934752	0.1227384587
v000210	-0.3526029513	-0.1155419152	0.1573415682	0.1926744872
v000211	0.0300725992	0.1953799125	0.0954459068	-0.0449200794
v000212	-0.0200042429	-0.0030408033	-0.0330934645	-0.0266103051
v000214	-0.0010088832	0.1560259998	0.0847403414	-0.0147437689
v000215	-0.0420840675	0.0429758921	-0.0758262581	0.0768119357
v000217	-0.0316407797	0.2662785343	0.0035142241	-0.0193878311
v000218	-0.0283920165	0.2596406627	0.0002903168	-0.0291550489
v000219	-0.2765151070	-0.1944712446	0.2084128734	0.1202809986
v000223	-0.0531575807	-0.0765620138	-0.0380300536	-0.2233165604
v000224	-0.1495585759	-0.0587765499	-0.0093803499	-0.1445835493
v000225	-0.0867004275	-0.1562664536	0.1020772898	-0.0612321829
v000226	0.0026979306	0.1122424697	-0.0763194391	0.1711927761
v000227	-0.2205518925	-0.0558891374	-0.3296884734	-0.2597841602
v000228	-0.0689500040	0.4078948665	0.3068257064	-0.1996683623
v000229	-0.1275319633	0.1447221268	-0.0138649881	0.0673972274
v000230	-0.0541836576	0.0645585246	-0.0390823959	0.0682049028
v000231	0.0342152987	-0.0317358334	-0.0118536819	-0.0286956191
v000232	-0.2159669060	0.0206682234	-0.1771326899	0.1203099837
v000234	-0.0293359961	0.0694995161	-0.1906877073	0.1886629865
v000237	0.0214818939	-0.0579209577	-0.0250675068	-0.0396135372
v000238	0.0471909223	-0.0771235872	-0.0268324093	-0.0670215049
v000239	-0.2503193023	-0.1744295739	0.1555147224	0.0708067074
v000240	-0.0213940962	0.0754187822	0.0190939111	0.0435549710
v000241	-0.1191834628	0.0354122206	0.0510891957	-0.2410748693
v000244	0.0424953426	0.0036144368	0.0014368868	-0.0071357195
v000245	-0.1728912449	0.0422833493	-0.2813570578	0.0214901019
v000248	0.0195089117	0.0391065909	-0.0054564667	0.0116404512
v000249	0.0131245434	0.1551942745	-0.1465279556	0.1682453484
v000250	-0.2742080169	-0.0854071682	0.1566059286	0.1279644897
v000251	0.0444109328	0.0199361532	0.0726569693	-0.0009928249
v000252	0.0270424812	-0.0308342977	0.0153492897	0.0024995839
v000253	-0.1688866263	-0.0025648563	0.0936906390	-0.1168825993
v000255	-0.5309129438	-0.2501263566	0.3719333790	0.2931849030
v000256	0.0478083088	-0.0737962668	0.0278176968	0.0069409293
v000259	-0.0591050919	0.4489091493	0.1885139376	-0.0967726760
v000260	-0.0461587202	0.2502016186	0.1620793179	-0.0603388142
v000261	-0.0800589293	0.2228433649	0.1535103525	-0.0500449881
v000262	0.0156991261	0.0989301837	0.0674140745	-0.0699456809
v000265	-0.1296934870	0.0220233095	-0.0832079798	-0.0828500215
v000266	-0.0307011343	0.1312093592	-0.2291023521	0.3106445440
v000267	-0.1190767247	0.2715921374	0.1492399934	-0.1344905053
v000268	-0.2996831982	-0.0526768753	0.1004560459	-0.1165076365
v000269	0.0451740452	-0.0507277984	0.0040703448	0.0226373751
v000272	-0.3056437016	0.2978410371	-0.0118819721	0.0453565532
v000275	-0.0289813860	-0.0092200892	-0.0190387138	0.0302118731
v000276	-0.1587766945	0.0460172338	-0.2464293556	-0.0083391870
v000277	-0.1339338938	0.1257474983	0.0656699967	-0.0754335823
