variable	factor_1	factor_2	factor_3	factor_4
v000001	-0.0103209237	0.0572191264	-0.1528479168	0.1413539674
v000002	0.0203651513	-0.0425161794	-0.0572313587	-0.0472726805
v000005	-0.0683624582	0.0432507805	0.0315653915	-0.0524576548
v000006	0.0254609967	-0.0759438594	-0.0705617897	-0.0411264991
v000007	-0.2532978338	0.1179131131	0.1937814419	-0.0997793527
v000008	0.0373302134	-0.0168480131	0.0037680462	0.0530809954
v000011	-0.1447669229	0.2154944565	-0.2231194759	-0.1708466552
v000012	-0.2704999633	-0.0712206642	0.0500970133	0.0123117797
v000013	-0.1461026748	0.0710458140	0.0097290868	-0.0618917491
v000014	-0.0061919963	0.1082165836	-0.0413439483	0.1579790859
v000016	-0.0589127176	0.2412765502	-0.1148535253	0.1802809626
v000017	-0.0915318812	0.1928451861	-0.0359835222	0.1380635334
v000018	-0.0716572665	0.1548756416	0.1244386368	0.1741668019
v000019	0.0099599007	0.1926809402	-0.0394873126	0.1234245916
v000020	-0.2387694974	0.2478267366	0.1387043156	-0.1291598592
v000021	-0.2144417022	-0.1032471132	-0.0784377322	-0.0316959562
v000022	-0.1303914113	-0.0203324705	0.0301657874	-0.1944248237
v000023	-0.2470178085	0.0232059359	-0.1750458377	-0.0083068342
v000024	0.0013425104	0.0824084440	-0.0315676156	-0.0057931622
v000026	-0.1836222874	-0.0105118991	-0.0294254278	-0.1338362812
v000028	0.0477057335	-0.0628088119	-0.0065315551	-0.0340877249
v000029	-0.1006869832	0.1693742647	-0.2096979612	0.1767874968
v000030	-0.0906671382	-0.0320411287	-0.1206263479	-0.1473263569
v000031	-0.0521293265	0.0921527498	-0.0088703408	0.1401464365
v000033	-0.1023104427	-0.0203917170	-0.0293281907	-0.1016551360
v000034	-0.1504309646	-0.1219917315	-0.1141452745	-0.3768537282
v000035	0.0049207201	0.3858652268	0.2521347996	-0.1642881296
v000036	-0.2963625130	-0.0218283176	-0.1473366618	-0.0705211714
v000037	-0.0524292758	0.2677696559	0.1525065675	-0.1410863728
v000039	-0.1567790661	0.1499113455	0.0140344744	-0.0097042967
v000041	-0.1092677663	-0.0253564002	-0.0337453194	-0.1882937180
v000043	-0.1364098210	-0.0953937997	0.0903363604	-0.0230908263
v000044	-0.0161001432	-0.1066227361	-0.0281595498	-0.0321328647
v000046	-0.2632794449	-0.0080990301	-0.0569853796	-0.1136707060
v000047	-0.2612576720	-0.0097064516	-0.0338532399	0.0819242759
v000048	0.0108836300	0.1154607293	-0.0414796665	0.1398567612
v000049	-0.0176251001	-0.1565045167	0.0356209424	-0.0559445713
