subcorpus	available_poskw_after_filters	selected_count	output_path
1950	198	198	cl_st1_ph2_andrea/keywords/1950.txt
1960	46	46	cl_st1_ph2_andrea/keywords/1960.txt
1970	12	12	cl_st1_ph2_andrea/keywords/1970.txt
1980	8	8	cl_st1_ph2_andrea/keywords/1980.txt
1990	6	6	cl_st1_ph2_andrea/keywords/1990.txt
2000	6	6	cl_st1_ph2_andrea/keywords/2000.txt
2010	7	7	cl_st1_ph2_andrea/keywords/2010.txt
2020	18	18	cl_st1_ph2_andrea/keywords/2020.txt
