component	eigenvalue
1	6.3523700666
2	4.5211638649
3	3.6453974069
4	3.4407255743
5	3.2343249909
6	3.1410839909
7	3.0658383128
8	2.9966909657
9	2.9783774856
10	2.7943981216
11	2.7539450365
12	2.6842480619
13	2.6338158116
14	2.6070717146
15	2.5655280048
16	2.5040230239
17	2.4530704283
18	2.4250675026
19	2.3885138075
20	2.3454751624
21	2.3156310571
22	2.2748541452
23	2.2338438928
24	2.1783244330
25	2.1524378859
26	2.1287881355
27	2.0866487677
28	2.0750778510
29	2.0731999010
30	2.0327940961
31	2.0143022412
32	1.9918708326
33	1.9845696313
34	1.9439267920
35	1.9257063667
36	1.9128643265
37	1.8607100994
38	1.8506249903
39	1.8350185116
40	1.8131766592
41	1.7975191873
42	1.7901207863
43	1.7668495884
44	1.7341273518
45	1.7223741042
46	1.7088686830
47	1.6935090623
48	1.6791200124
49	1.6624485078
50	1.6359014502
51	1.6273141031
52	1.6148646173
53	1.5897530555
54	1.5809994701
55	1.5536584304
56	1.5506848064
57	1.5395032708
58	1.5321071840
59	1.5248881881
60	1.5088761263
61	1.4770489608
62	1.4728328255
63	1.4541782418
64	1.4415332444
65	1.4239360048
66	1.4142925802
67	1.4120693602
68	1.3855044410
69	1.3757689171
70	1.3627151247
71	1.3592307051
72	1.3461388464
73	1.3217408883
74	1.3063708478
75	1.3027092166
76	1.2953882569
77	1.2872915433
78	1.2710234059
79	1.2594188274
80	1.2409779834
81	1.2327438333
82	1.2277253434
83	1.2189556664
84	1.2071628772
85	1.2011216054
86	1.1946502744
87	1.1907863998
88	1.1735544297
89	1.1685951532
90	1.1601046156
91	1.1422538528
92	1.1329397252
93	1.1247284450
94	1.1208916765
95	1.1083312563
96	1.0971842194
97	1.0904002112
98	1.0856143035
99	1.0679041888
100	1.0663528225
101	1.0581752546
102	1.0502105305
103	1.0427453339
104	1.0364878495
105	1.0311304094
106	1.0214296668
107	1.0079920784
108	0.9990257622
109	0.9951780302
110	0.9842297339
111	0.9702992315
112	0.9623084491
113	0.9592611344
114	0.9518639322
115	0.9440750462
116	0.9401480318
117	0.9325682185
118	0.9193800710
119	0.9121962914
120	0.9027357215
121	0.8940425104
122	0.8857143349
123	0.8804244686
124	0.8760096657
125	0.8700650016
126	0.8643084205
127	0.8591114471
128	0.8486031176
129	0.8343308042
130	0.8288644402
131	0.8268777921
132	0.8234843163
133	0.8132015821
134	0.8074541535
135	0.8007492231
136	0.7937382718
137	0.7852130178
138	0.7799524836
139	0.7675336505
140	0.7632429187
141	0.7582311889
142	0.7565686121
143	0.7504474427
144	0.7405632256
145	0.7283394773
146	0.7249975709
147	0.7218369621
148	0.7175163028
149	0.7081649421
150	0.6987708102
151	0.6945730612
152	0.6843790137
153	0.6767773586
154	0.6709918879
155	0.6646329680
156	0.6558765560
157	0.6532301287
158	0.6482840495
159	0.6432078644
160	0.6347164331
161	0.6278695804
162	0.6269075011
163	0.6128595274
164	0.6106427373
165	0.6018929334
166	0.5975156080
167	0.5935351313
168	0.5878886538
169	0.5805616741
170	0.5753012542
171	0.5731606118
172	0.5656391446
173	0.5603138534
174	0.5534590653
175	0.5496517716
176	0.5461313106
177	0.5424167876
178	0.5352078312
179	0.5290065705
180	0.5233228877
181	0.5159301273
182	0.5125179024
183	0.5098639136
184	0.5065613826
185	0.5030103691
186	0.4993890603
187	0.4933838229
188	0.4902108763
189	0.4833017898
190	0.4765976609
191	0.4720462961
192	0.4667471925
193	0.4656723885
194	0.4570346786
195	0.4507053422
196	0.4461936989
197	0.4456328339
198	0.4384415455
199	0.4343383259
200	0.4281935769
201	0.4244693264
202	0.4215240966
203	0.4147417176
204	0.4084581708
205	0.4071463333
206	0.4019213380
207	0.3999535381
208	0.3892754715
209	0.3867005692
210	0.3833003686
211	0.3795633060
212	0.3756414390
213	0.3719551671
214	0.3693851557
215	0.3655585854
216	0.3568035270
217	0.3506017755
218	0.3460531666
219	0.3422231226
220	0.3400323192
221	0.3303943763
222	0.3278345956
223	0.3249623979
224	0.3226331915
225	0.3151349674
226	0.3141795937
227	0.3109922660
228	0.3067181532
229	0.3053761613
230	0.3003084088
231	0.2942719585
232	0.2923561683
233	0.2905619888
234	0.2869288071
235	0.2829301358
236	0.2789291876
237	0.2764393256
238	0.2699576249
239	0.2674421460
240	0.2645003772
241	0.2614543290
242	0.2593797920
243	0.2578060654
244	0.2512772789
245	0.2492778443
246	0.2429444637
247	0.2348915055
248	0.2330945726
249	0.2314360993
250	0.2286156806
251	0.2257046367
252	0.2192762590
253	0.2163147788
254	0.2132067959
255	0.2086181255
256	0.2036512861
257	0.2024702167
258	0.1967790174
259	0.1931534996
260	0.1902203807
261	0.1843061086
262	0.1804368056
263	0.1767107681
264	0.1706084975
265	0.1688191146
266	0.1643853332
267	0.1603200624
268	0.1563138622
269	0.1532513298
270	0.1493337343
271	0.1460321941
272	0.1416142555
273	0.1319563006
274	0.1223215642
275	0.1145423294
276	0.1043734992
277	0.0602567576
