factor	group_variable	group_count	text_count	df_between	df_within	ss_between	ss_within	ss_total	ms_between	ms_within	f_value	p_value	r_squared
factor_2	subcorpus	8	822	7	814	9.5381450433	97.7854559299	107.3236009732	1.3625921490	0.1201295527	11.3426889385	0.0000000000	0.0888727638
factor_3	subcorpus	8	822	7	814	15.6895079767	202.4662097849	218.1557177616	2.2413582824	0.2487299875	9.0112105314	0.0000000001	0.0719188483
factor_4	subcorpus	8	822	7	814	9.9250980670	263.1466780887	273.0717761557	1.4178711524	0.3232760173	4.3859459920	0.0000862010	0.0363461146
factor_5	subcorpus	8	822	7	814	12.4759407554	143.1116504854	155.5875912409	1.7822772508	0.1758128384	10.1373555347	0.0000000000	0.0801859625
factor_1	subcorpus	8	822	7	814	18.8116300592	288.0995621550	306.9111922141	2.6873757227	0.3539306660	7.5929439876	0.0000000069	0.0612933987
