component	eigenvalue
1	3.4340400180
2	2.4523749823
3	2.3792915458
4	1.9204633305
5	1.3654315436
6	1.2836441491
7	1.2130666546
8	1.1580875652
9	1.1054888904
10	1.0438273306
11	0.9841016490
12	0.9287726857
13	0.8957755596
14	0.8829182167
15	0.8546138323
16	0.8402595893
17	0.8018238743
18	0.7840401828
19	0.7749106308
20	0.7289220530
21	0.7150582288
22	0.6758260896
23	0.6519862443
24	0.6297175657
25	0.5978592886
26	0.5737275222
27	0.5369208827
28	0.4700811982
29	0.4367865098
30	0.3886041650
31	0.3528867890
32	0.1386912323
