component	eigenvalue	proportion_variance	cumulative_variance
1	3.4340400180	0.1073137506	0.1073137506
2	2.4523749823	0.0766367182	0.1839504688
3	2.3792915458	0.0743528608	0.2583033296
4	1.9204633305	0.0600144791	0.3183178086
5	1.3654315436	0.0426697357	0.3609875444
6	1.2836441491	0.0401138797	0.4011014240
7	1.2130666546	0.0379083330	0.4390097570
8	1.1580875652	0.0361902364	0.4751999934
9	1.1054888904	0.0345465278	0.5097465212
10	1.0438273306	0.0326196041	0.5423661253
11	0.9841016490	0.0307531765	0.5731193018
12	0.9287726857	0.0290241464	0.6021434483
13	0.8957755596	0.0279929862	0.6301364345
14	0.8829182167	0.0275911943	0.6577276288
15	0.8546138323	0.0267066823	0.6844343110
16	0.8402595893	0.0262581122	0.7106924232
17	0.8018238743	0.0250569961	0.7357494193
18	0.7840401828	0.0245012557	0.7602506750
19	0.7749106308	0.0242159572	0.7844666322
20	0.7289220530	0.0227788142	0.8072454464
21	0.7150582288	0.0223455696	0.8295910160
22	0.6758260896	0.0211195653	0.8507105813
23	0.6519862443	0.0203745701	0.8710851515
24	0.6297175657	0.0196786739	0.8907638254
25	0.5978592886	0.0186831028	0.9094469281
26	0.5737275222	0.0179289851	0.9273759132
27	0.5369208827	0.0167787776	0.9441546908
28	0.4700811982	0.0146900374	0.9588447282
29	0.4367865098	0.0136495784	0.9724943067
30	0.3886041650	0.0121438802	0.9846381868
31	0.3528867890	0.0110277122	0.9956658990
32	0.1386912323	0.0043341010	1.0000000000
