field	value
statistical_matrix_path	ivacs_demo/statistics/reduced_statistical_matrix.tsv
assignment_table_path	ivacs_demo/statistics/factor_pole_assignments.tsv
full_scores_output_path	ivacs_demo/statistics/factor_scores_full.tsv
scores_only_output_path	ivacs_demo/statistics/factor_scores.tsv
text_count	822
factor_count	5
matrix_variable_count	32
assigned_variable_count	29
scored_variable_count	29
missing_assigned_variable_count	0
development_backend_source	true
