factor	subcorpus	text_count	mean	std	min	max
factor_2	1950	103	-0.3398058252	0.7989379968	-5.0000000000	0.0000000000
factor_2	1960	103	-0.1359223301	0.4438809169	-3.0000000000	0.0000000000
factor_2	1970	103	-0.0194174757	0.1386618488	-1.0000000000	0.0000000000
factor_2	1980	102	-0.0294117647	0.1697920891	-1.0000000000	0.0000000000
factor_2	1990	102	-0.0098039216	0.0990147543	-1.0000000000	0.0000000000
factor_2	2000	103	-0.0194174757	0.1386618488	-1.0000000000	0.0000000000
factor_2	2010	103	0.0000000000	0.0000000000	0.0000000000	0.0000000000
factor_2	2020	103	-0.0485436893	0.2159629950	-1.0000000000	0.0000000000
factor_3	1950	103	-0.4854368932	0.9788356195	-5.0000000000	0.0000000000
factor_3	1960	103	-0.2718446602	0.6134789057	-4.0000000000	0.0000000000
factor_3	1970	103	-0.1262135922	0.4356561797	-2.0000000000	0.0000000000
factor_3	1980	102	-0.0882352941	0.2850374711	-1.0000000000	0.0000000000
factor_3	1990	102	-0.1078431373	0.3956912174	-2.0000000000	0.0000000000
factor_3	2000	103	-0.0679611650	0.2529099631	-1.0000000000	0.0000000000
factor_3	2010	103	-0.1165048544	0.3223982093	-1.0000000000	0.0000000000
factor_3	2020	103	-0.0388349515	0.2393754167	-2.0000000000	0.0000000000
factor_4	1950	103	0.4660194175	1.0272324706	0.0000000000	5.0000000000
factor_4	1960	103	0.1747572816	0.4936297030	0.0000000000	3.0000000000
factor_4	1970	103	0.1553398058	0.4374005557	0.0000000000	3.0000000000
factor_4	1980	102	0.2745098039	0.6159089354	0.0000000000	3.0000000000
factor_4	1990	102	0.1470588235	0.4537426065	0.0000000000	3.0000000000
factor_4	2000	103	0.0970873786	0.2975245288	0.0000000000	1.0000000000
factor_4	2010	103	0.1650485437	0.5067599381	0.0000000000	3.0000000000
factor_4	2020	103	0.1456310680	0.4060273098	0.0000000000	2.0000000000
factor_5	1950	103	-0.4368932039	0.8707659791	-5.0000000000	0.0000000000
factor_5	1960	103	-0.1067961165	0.3681597415	-2.0000000000	0.0000000000
factor_5	1970	103	-0.1553398058	0.4592679929	-2.0000000000	0.0000000000
factor_5	1980	102	-0.1176470588	0.3237808098	-1.0000000000	0.0000000000
factor_5	1990	102	-0.0294117647	0.1697920891	-1.0000000000	0.0000000000
factor_5	2000	103	-0.0485436893	0.2159629950	-1.0000000000	0.0000000000
factor_5	2010	103	-0.0582524272	0.2353654946	-1.0000000000	0.0000000000
factor_5	2020	103	-0.0679611650	0.2529099631	-1.0000000000	0.0000000000
factor_1	1950	103	0.4951456311	1.3051465729	0.0000000000	8.0000000000
factor_1	1960	103	0.2524271845	0.8599868513	0.0000000000	7.0000000000
factor_1	1970	103	0.0776699029	0.3032283935	0.0000000000	2.0000000000
factor_1	1980	102	0.1274509804	0.3634697647	0.0000000000	2.0000000000
factor_1	1990	102	0.0294117647	0.1697920891	0.0000000000	1.0000000000
factor_1	2000	103	0.0291262136	0.1689825771	0.0000000000	1.0000000000
factor_1	2010	103	0.0388349515	0.1941462001	0.0000000000	1.0000000000
factor_1	2020	103	0.0679611650	0.2529099631	0.0000000000	1.0000000000
