factor	pole	variable	loading	abs_loading
factor_1	positive	v000186	0.8532299342	0.8532299342
factor_1	positive	v000255	0.8081138253	0.8081138253
factor_1	positive	v000185	0.6022092534	0.6022092534
factor_1	positive	v000174	0.5698960293	0.5698960293
factor_1	positive	v000147	0.5434205504	0.5434205504
factor_1	positive	v000210	0.4722865146	0.4722865146
factor_1	positive	v000219	0.4505066035	0.4505066035
factor_1	positive	v000098	0.3765105903	0.3765105903
factor_2	negative	v000135	-0.8019174680	0.8019174680
factor_2	negative	v000011	-0.7294920166	0.7294920166
factor_2	negative	v000054	-0.4693071262	0.4693071262
factor_2	negative	v000272	-0.4127753242	0.4127753242
factor_2	negative	v000094	-0.3914549042	0.3914549042
factor_3	negative	v000202	-0.6515050640	0.6515050640
factor_3	negative	v000034	-0.6510219289	0.6510219289
factor_3	negative	v000027	-0.5285967493	0.5285967493
factor_3	negative	v000195	-0.5126731323	0.5126731323
factor_3	negative	v000079	-0.5117534092	0.5117534092
factor_3	negative	v000052	-0.3637162709	0.3637162709
factor_4	positive	v000056	0.7774210658	0.7774210658
factor_4	positive	v000058	0.6862410935	0.6862410935
factor_4	positive	v000228	0.5906852679	0.5906852679
factor_4	positive	v000035	0.5610791403	0.5610791403
factor_4	positive	v000259	0.4208109120	0.4208109120
factor_5	negative	v000175	-0.6524157429	0.6524157429
factor_5	negative	v000190	-0.5138407310	0.5138407310
factor_5	negative	v000093	-0.5083795517	0.5083795517
factor_5	negative	v000227	-0.4944283563	0.4944283563
factor_5	negative	v000180	-0.4432671923	0.4432671923
